id,name,description,price,teacher_id
1,Python untuk Pemula,"Belajar dasar-dasar Python dari nol: variabel, kondisi, looping, fungsi, dan OOP.",150000,1
2,Web Development dengan Django,Membangun aplikasi web modern menggunakan framework Django secara menyeluruh.,250000,2
3,Data Science dengan Pandas,Analisis data menggunakan library Pandas dan visualisasi dengan Matplotlib.,200000,3
4,Machine Learning Dasar,"Pengenalan konsep machine learning, regresi, klasifikasi, dan clustering.",350000,1
5,HTML & CSS untuk Pemula,Memahami struktur halaman web dengan HTML5 dan styling menggunakan CSS3.,75000,4
6,JavaScript Modern (ES6+),"Kuasai JavaScript modern: arrow function, promise, async/await, dan modul.",180000,2
7,Database SQL dengan PostgreSQL,"Mempelajari query SQL, relasi tabel, indexing, dan optimasi database.",120000,5
8,Flutter untuk Mobile App,Membangun aplikasi Android dan iOS dengan Flutter dan bahasa Dart.,300000,3
9,Desain UI/UX dengan Figma,Mempelajari prinsip desain UI/UX dan membuat prototipe interaktif di Figma.,90000,6
10,Cloud Computing dengan AWS,"Pengenalan layanan AWS: EC2, S3, RDS, Lambda, dan deployment aplikasi cloud.",400000,7
